,,,,
,,,,
,,,,
,,,,
,,,,
All parts available from Digikey unless otherwise specified,,,,
,,,,
Qty,Reference(s),Value/Part Number,Footprint,Supplier
1,C1,4.7uF,Capacitor 0603_1608Metric,
8,"C2, C3, C6, C7, C8, C15, C16, C17",0.1uF,Capacitor 0603_1608Metric,
2,"C4, C5",22pF,Capacitor 0603_1608Metric,
3,"D1, D2, D3",LED_BRGK,LED_T36K3BGR-05D000121U1930,https://www.aliexpress.com/item/1005003719602946.html
6,"DN1, LEFT1, RIGHT1, Select1, Start1, UP1",EVQ-Q2B02W,SW_EVQ-Q2B02W,
1,J1,SJ-43516-SMT-TR,CUI_SJ-43516-SMT,
2,"J2, J4",5052781033,Molex 5052781033,
1,J3,532617002,MOLEX_532617002,
1,L1,TL1105VF160Q,SW_TL1105VF160Q,
1,R1,1K,Resistor 0603_1608Metric,
3,"R2, R7, R10",100R,Resistor 0603_1608Metric,
5,"R3, R4, R5, R6, R8",R33,Resistor 0603_1608Metric,
1,U1,ATmega328P-A,TQFP-32_7x7mm_P0.8mm,
3,"U2, U3, U4",WS2811,SOP-8_3.9x4.9mm_P1.27mm,https://www.aliexpress.com/item/32844615804.html
2,"Vol+1, Vol-1",TL3330AF130QG,SW_TL3330AF130QG,
1,Y1,16 MHZ,Crystal_SMD_5032-4Pin_5.0x3.2mm,
