Qty,Reference(s),Value
2,"C1, C2",47nF
1,C3,4.7uF
9,"C4, C5, C6, C12, C13, C15, C16, C17, C18",10uF
7,"C7, C10, C11, C14, C21, C24, C31",0.1uF
1,C8,1nF
1,C9,2.2uF
2,"C19, C20",10uF
2,"C25, C26",1uF
1,C27,.47uF
1,C28,.1uF
1,D1,LED
1,J1,527450697
1,J2,Molex 5052781033
1,J3,S5B-EH
1,L1,1.0uH
1,R1,2.2K
1,R2,27k
2,"R3, R13",100k
1,R4,127k
1,R5,2ohm
1,R6,30.31K
1,R7,5.24K
1,R8,100ohm
1,R12,0.01R
1,R14,11.1k
1,Thermistor,"	
103AT-5-1P-FT"
1,U1,MAX17261METD+
1,U2,BQ25792RQMR
1,U3,DRV5053OAQDBZR
1,U4,SMBJ24CA
1,U6,NCP718xSN330
